
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,123,0.58,5.68,1.7,5.8,5.41
2024,124,1.18,7.44,1.37,0.64,5.61
2024,125,0.91,9.81,1.09,0.36,6.54
2024,126,0.62,9.28,1.36,6.46,6.73
2024,127,1.04,10.87,1.25,2.25,7.1
2024,128,1.3,8.81,1.33,0.04,5.49
2024,129,0.83,5.67,1.62,3.32,4.89
2024,130,0.88,6.69,1.36,1.86,5.07
2024,131,1.43,8.34,1.01,0.08,4.85
2024,132,1.13,8.57,0.91,0.03,5.28
2024,133,1.1,9.98,0.67,0.14,5.5
2024,134,1.11,12.01,0.97,1.03,6.84
2024,135,0.63,12.69,0.92,9.65,8.88
2024,136,1.19,14.57,0.63,0.22,8.08
2024,137,1.23,12.81,1.35,1.43,7.74
2024,138,1.09,15.02,0.79,9.39,9.68
2024,139,0.75,14.73,0.58,9.8,9.69
2024,140,1.16,15.64,0.56,0.06,9.09
2024,141,1.47,17.77,1.0,1.15,11.31
2024,142,1.11,17.88,0.94,1.14,11.3
2024,143,1.32,20.07,0.54,4.64,11.87
2024,144,1.27,18.52,1.62,5.19,11.28
2024,145,0.91,12.78,1.61,2.09,7.41
2024,146,1.44,12.75,0.88,0.2,6.62
2024,147,1.24,13.97,0.8,0.83,7.76
2024,148,0.73,12.49,1.88,15.38,8.62
2024,149,1.0,15.74,2.27,10.19,10.23
2024,150,1.38,11.78,1.3,0.07,6.13
2024,151,1.53,10.85,0.89,0.98,5.67
2024,152,1.33,12.51,0.9,0.01,6.54
2024,153,1.68,15.68,0.83,0.24,7.86
2024,154,1.68,17.28,0.64,0.12,9.35
2024,155,1.62,19.52,0.72,0.01,9.62
2024,156,1.45,18.78,0.83,0.57,11.04
2024,157,1.44,19.91,0.7,0.77,11.34
2024,158,1.47,19.82,1.04,1.17,12.18
2024,159,0.81,17.7,0.64,20.72,11.6
2024,160,0.91,14.67,0.97,16.04,10.05
2024,161,0.7,14.73,1.33,5.93,9.23
2024,162,1.01,14.31,0.88,4.02,9.32
2024,163,1.02,15.69,0.73,1.1,9.66
2024,164,1.36,16.17,0.95,0.98,9.7
2024,165,1.46,17.45,1.36,3.89,10.83
2024,166,1.39,18.26,1.71,4.3,10.58
2024,167,1.5,12.35,0.92,0.08,6.08
2024,168,1.72,13.78,1.14,0.04,7.0
2024,169,0.81,16.58,0.92,0.72,10.77
2024,170,1.56,22.71,1.0,3.77,15.76
2024,171,1.57,24.51,1.39,1.51,17.49
2024,172,1.41,22.17,1.09,0.19,14.38
2024,173,0.86,17.09,0.78,0.04,9.1
2024,174,1.29,18.01,0.91,0.0,10.38
2024,175,0.3,16.68,1.26,43.97,11.52
2024,176,0.85,17.39,1.58,4.86,10.44
2024,177,1.7,20.25,0.96,0.15,11.64
2024,178,1.27,18.94,1.42,5.09,11.93
2024,179,0.95,13.92,1.38,10.47,8.25
2024,180,1.66,13.52,1.31,0.77,7.2
2024,181,0.59,15.09,1.54,12.87,10.05
2024,182,1.34,18.69,1.61,4.7,11.88
2024,183,1.72,17.19,0.82,2.79,9.24
2024,184,1.55,19.87,0.57,2.36,10.37
2024,185,1.26,19.81,1.15,1.2,11.58
2024,186,1.39,21.04,1.35,3.26,13.54
2024,187,1.16,20.05,0.48,0.74,11.77
2024,188,0.75,20.21,0.68,8.2,13.68
2024,189,1.38,20.85,0.58,1.33,12.35
2024,190,1.29,20.88,0.9,0.16,13.46
2024,191,0.95,20.37,1.23,4.89,14.08
2024,192,0.74,20.4,0.97,11.97,13.34
2024,193,0.63,18.12,1.82,12.81,12.1
2024,194,0.89,20.16,0.61,0.6,12.59
2024,195,1.18,20.4,1.06,3.88,13.44
2024,196,1.54,22.11,1.15,0.37,14.26
2024,197,1.22,22.25,1.04,3.03,15.38
2024,198,1.1,22.23,0.83,3.26,15.52
2024,199,1.11,21.77,1.27,3.04,14.83
2024,200,1.37,18.96,1.47,2.58,11.52
2024,201,1.49,18.01,1.34,0.23,10.13
