
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,126,1.12,19.17,2.56,0.35,8.51
2024,127,0.95,15.82,2.6,2.94,8.94
2024,128,1.1,12.04,3.12,0.23,6.15
2024,129,1.37,11.35,1.91,0.0,4.94
2024,130,1.42,13.1,1.28,0.0,5.22
2024,131,0.72,12.51,2.56,0.36,6.37
2024,132,1.23,9.97,2.38,0.03,4.69
2024,133,1.5,10.84,2.11,0.0,4.38
2024,134,1.47,13.47,1.4,0.0,4.85
2024,135,1.18,14.93,2.14,0.03,5.99
2024,136,1.5,13.68,3.85,0.0,5.58
2024,137,1.44,14.15,4.67,0.0,5.6
2024,138,1.48,14.81,4.88,0.0,5.95
2024,139,1.42,15.69,2.56,0.53,7.91
2024,140,1.28,17.23,1.86,0.89,8.52
2024,141,1.03,18.4,0.84,1.69,8.82
2024,142,1.29,20.29,2.0,0.16,9.49
2024,143,1.29,19.01,3.58,1.48,10.6
2024,144,0.82,18.92,2.12,5.78,10.98
2024,145,1.33,20.31,2.63,0.57,10.66
2024,146,1.21,18.52,2.47,2.2,11.08
2024,147,1.3,20.06,2.47,0.57,9.61
2024,148,1.54,20.24,2.73,0.0,8.14
2024,149,1.28,20.42,2.54,0.17,8.66
2024,150,1.04,19.98,0.85,2.04,10.05
2024,151,1.07,18.78,1.89,3.84,10.65
2024,152,1.19,18.73,2.13,0.31,9.51
2024,153,0.9,17.86,1.7,7.03,10.83
2024,154,1.02,17.5,1.78,3.35,10.34
2024,155,0.94,18.55,2.37,2.98,10.74
2024,156,0.82,17.24,2.03,7.13,10.63
2024,157,1.17,18.7,2.47,0.21,9.61
2024,158,1.14,18.23,2.22,1.73,9.97
2024,159,1.2,18.1,1.56,5.12,9.86
2024,160,1.46,17.71,1.78,0.05,7.9
2024,161,1.3,18.46,3.08,6.73,9.56
2024,162,0.81,16.82,1.7,11.57,10.4
2024,163,1.25,17.0,2.95,0.18,8.57
2024,164,1.17,14.78,2.22,0.0,6.54
2024,165,0.82,14.03,0.62,0.99,6.42
2024,166,1.13,15.47,1.29,0.03,7.13
2024,167,1.39,18.75,2.77,0.0,8.2
2024,168,1.21,20.18,2.47,2.31,9.71
2024,169,1.41,21.03,2.09,0.18,10.3
2024,170,1.19,21.89,1.89,2.0,11.72
