
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,126,1.18,22.4,1.49,27.8,14.46
2024,127,0.66,24.76,4.7,0.09,16.97
2024,128,1.54,24.76,2.95,0.0,13.13
2024,129,1.16,26.65,3.78,0.63,17.22
2024,130,0.92,23.18,3.27,4.35,14.72
2024,131,1.61,21.22,2.89,0.0,10.83
2024,132,1.11,20.88,1.98,0.6,11.26
2024,133,0.27,19.37,3.13,24.72,13.12
2024,134,0.97,21.69,2.0,0.48,13.13
2024,135,1.68,21.97,2.18,0.01,11.03
2024,136,1.52,23.33,2.67,0.27,13.55
2024,137,0.19,21.76,2.44,9.92,13.81
2024,138,1.43,21.56,1.4,0.09,12.21
2024,139,1.7,24.64,1.98,0.06,14.95
2024,140,1.7,26.01,3.12,0.0,17.02
2024,141,1.67,26.07,4.27,0.02,16.21
2024,142,0.87,26.41,4.06,0.3,18.46
2024,143,0.51,26.26,3.49,9.79,18.96
2024,144,0.9,26.21,3.7,2.74,18.13
2024,145,0.92,27.25,3.82,4.8,19.87
2024,146,1.04,27.11,3.16,4.04,19.48
2024,147,1.54,28.44,4.14,0.56,16.99
2024,148,1.58,27.51,2.27,7.47,17.43
2024,149,1.09,23.06,2.59,27.51,15.88
2024,150,1.56,23.92,1.92,24.13,15.74
2024,151,0.47,23.83,2.21,26.14,17.37
2024,152,1.43,23.65,1.49,21.73,15.21
2024,153,0.97,24.34,1.28,6.31,16.25
2024,154,1.05,24.59,2.61,6.67,17.92
2024,155,0.82,25.57,4.13,58.2,19.33
2024,156,1.18,26.77,4.71,16.9,20.76
2024,157,1.44,26.71,2.14,7.6,17.42
2024,158,1.8,26.55,1.24,0.0,13.56
2024,159,1.76,26.88,2.3,0.0,15.21
2024,160,1.75,27.55,3.8,0.0,17.75
2024,161,1.69,27.28,2.13,0.07,17.24
2024,162,1.03,25.04,1.75,1.83,17.34
2024,163,1.02,24.39,1.62,4.34,16.65
2024,164,1.56,25.81,1.76,0.13,15.91
2024,165,1.79,26.56,1.57,0.02,16.41
2024,166,1.79,26.79,1.51,0.0,15.49
2024,167,1.68,26.73,2.06,0.0,16.05
2024,168,1.65,27.14,3.25,0.0,16.36
2024,169,1.63,27.91,4.57,0.02,18.36
2024,170,1.53,27.59,4.35,0.01,17.61
